#Opcount  181.mcf  197.parser  175.vpr  186.crafty
420000  15.45232997  5.579352461  3.849622938  13.30789998
430000  15.7690855  5.613190003  3.880981201  13.46401134
440000  16.08639986  5.61382484  3.913159698  13.62734372
450000  16.38387457  5.628855732  3.957983193  13.91289772
460000  16.68342756  5.63684366  3.993685767  14.19252856
470000  16.99563942  5.637045343  4.032860681  14.48018818
480000  17.29616875  5.662248316  4.054979032  14.77111584
490000  17.59116057  5.600999193  4.088724861  15.05319537
500000  17.87933013  5.522367349  4.130004589  15.31802292
510000  18.17465943  5.471652811  4.164595732  15.58713413
520000  18.47687065  5.439507419  4.196846457  15.86539585
530000  18.75006861  5.386405337  4.236756945  16.09361079
540000  19.03837738  5.38546492  4.278954547  16.31981775
550000  19.32741488  5.408587309  4.303866185  16.38997654
560000  19.61324063  5.445788487  4.342975959  16.07669936
570000  19.91091267  5.476738656  4.375756901  16.07655502
580000  20.2391315  5.486514601  4.412641506  16.0939254
590000  20.54688555  5.485828395  4.451599919  16.30094987
600000  20.88056588  5.51370101  4.489404094  16.42532456
610000  21.19136793  5.551922783  4.539155776  16.5070686
620000  21.5146636  5.53859507  4.559067886  16.74378503
630000  21.83314802  5.575106197  4.57053895  16.96526508
640000  22.15489572  5.609494606  4.583692377  17.17746635
650000  22.45528287  5.651976837  4.59698363  17.30029444
660000  22.77410958  5.695042491  4.607584234  17.3538591
670000  23.07342568  5.737105261  4.62522076  17.59552472
680000  23.39002741  5.797792515  4.640498729  17.83760639
690000  23.71174019  5.848366579  4.656554065  18.07199342
700000  24.01314501  5.894000959  4.671928472  18.31687653
710000  24.32506009  5.940155367  4.689575948  18.54017951
720000  24.64874323  5.990123947  4.70987162  18.77427121
730000  24.94192321  6.036501859  4.725816553  18.98273281
740000  25.2460915  6.084568844  4.742017514  19.17893531
750000  25.55298809  6.135926651  4.763366733  19.33194017
760000  25.85443099  6.184705221  4.779554993  19.3458408
770000  26.17973946  6.230027213  4.79658367  19.58314856
780000  26.46195425  6.280704827  4.820595811  19.82231581
790000  26.76476068  6.32623401  4.833188221  20.05143363
800000  27.08079796  6.373755813  4.849108268  20.30229546
810000  27.37680486  6.423968542  4.859489662  20.52951492
820000  27.66049177  6.476239366  4.885259007  20.7700269
830000  27.96677236  6.523787781  4.901807537  21.00981944
840000  28.26675365  6.572243147  4.913612109  21.25165901
850000  28.57143703  6.623687492  4.931836054  21.49003198
860000  28.86682915  6.674818021  4.949451401  21.71657772
870000  29.15607503  6.725053678  4.965108474  21.94073999
880000  29.46487367  6.771034975  4.982548473  22.17890002
890000  29.74126945  6.820152955  5.00028261  22.39895547
900000  30.04155392  6.868789772  5.017687062  22.63430344
910000  30.33708142  6.915214984  5.044688988  22.85783235
920000  30.61837845  6.963044989  5.063168193  23.06114548
930000  30.91039548  7.012856828  5.079211885  23.27069548
940000  31.21467274  7.063429595  5.099200807  23.46782128
950000  31.49965526  7.106227175  5.116223711  23.63083484
960000  31.79932755  7.150614261  5.134162017  23.63883947
970000  32.07258976  7.195604205  5.158250493  23.13092227
980000  32.36852031  7.247921416  5.175055813  23.05710605
990000  32.65155583  7.300964931  5.194297546  23.04011709
1000000  32.92494604  7.348184242  5.213769106  23.13741605
1010000  33.20979685  7.39530396  5.228938173  23.12026219
1020000  33.5101599  7.440993694  5.245113896  23.30324927
1030000  33.78611146  7.488900678  5.259980755  23.47955764
1040000  34.07887656  7.542391022  5.275196598  23.61447174
1050000  34.33940693  7.587157483  5.291026848  23.53404168
1060000  33.90928974  7.630721268  5.304813907  23.73819762
1070000  30.61037233  7.678771184  5.321185993  23.93457334
1080000  28.58682512  7.721057304  5.340849556  24.14197887
1090000  26.86633831  7.758028543  5.355362581  24.32893081
1100000  25.83759778  7.785800858  5.370680639  24.50998743
1110000  25.11494913  7.812179124  5.387146563  24.69581726
1120000  24.19029098  7.84801233  5.402197164  24.84820041
1130000  23.4847859  7.888789697  5.420488454  24.91542386
1140000  23.22491762  7.925154113  5.434011769  24.93018132
1150000  23.02119134  7.962481509  5.449239195  25.12810249
1160000  22.80697123  8.002349987  5.46403632  25.33784709
1170000  22.65533477  8.043657996  5.476782471  25.53740313
1180000  22.52973511  8.083653281  5.488347498  25.73411737
1190000  22.49436473  8.122361406  5.507332109  25.93679673
1200000  22.48118489  8.160544614  5.523992987  26.14523753
1210000  22.4785711  8.202274555  5.539990061  26.34425937
1220000  22.45780765  8.247322419  5.557039272  26.53725071
1230000  22.43702794  8.287568923  5.569429419  26.7239302
1240000  22.42982249  8.326624725  5.583650629  26.92319672
1250000  22.43224187  8.369725512  5.599898489  27.10580442
1260000  22.51692065  8.413226516  5.614130072  27.30472847
1270000  22.59401211  8.458468676  5.626184423  27.46965036
1280000  22.68189623  8.496463166  5.64156086  27.65860652
1290000  22.7726645  8.535052994  5.657658891  27.79559192
1300000  22.85051997  8.578479769  5.672416657  27.88839784
1310000  22.92784853  8.617330002  5.6846105  27.85702223
1320000  23.01518717  8.659870852  5.6997485  28.04930223
1330000  23.0906199  8.701703772  5.714769143  28.24715211
1340000  23.16852386  8.74566033  5.728787626  28.45191608
1350000  23.2577518  8.788873394  5.744545999  28.64799139
1360000  23.33105441  8.829128741  5.76042492  28.85604771
1370000  23.40913251  8.87191752  5.776156394  29.05159527
1380000  23.49428032  8.915623741  5.786998346  29.2515267
1390000  23.58069819  8.949827295  5.799888852  29.45102999
1400000  23.707313  8.990962745  5.816012965  29.65789971
1410000  23.82950025  9.02886935  5.829962181  29.85078553
1420000  23.9578617  9.064919173  5.840998973  30.05758637
1430000  24.08332789  9.099044137  5.852134908  30.25517322
1440000  24.20881686  9.13585695  5.864303219  30.4699529
1450000  24.32803826  9.172006901  5.878745574  30.65408138
1460000  24.45524295  9.212513739  5.895803029  30.8527938
1470000  24.57418359  9.249878365  5.911495538  31.05820236
1480000  24.69525058  9.287658476  5.927482082  31.2440554
1490000  24.81938388  9.32998001  5.942220051  31.43982933
1500000  24.93953578  9.365624132  5.956292434  31.63354902
1510000  25.05833821  9.405090261  5.972149433  31.82030944
1520000  25.18027399  9.441609976  5.988200242  32.02717675
1530000  25.29713307  9.479507648  5.998718631  32.21319245
1540000  25.42651037  9.519336789  6.011897196  32.41721624
1550000  25.53581318  9.563272915  6.021121732  32.60152968
1560000  25.65580724  9.603869307  6.031832076  32.80302152
1570000  25.77693318  9.644800192  6.041405475  32.97645475
1580000  25.88758162  9.683451204  6.055518335  33.15000795
1590000  26.00397619  9.702562295  6.06775312  33.32466557
1600000  26.1290794  9.724136103  6.08130521  33.52954434
1610000  26.23698021  9.749511915  6.097448466  33.67656095
1620000  26.35448647  9.782199778  6.112177642  33.84839184
