5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5644 5645 5645 5645 5645 5645 5645 5645 5645 5645 5645 5646 5646 5646 5646 5646 5648 5648 5650 5650 5656 5660 5670 5672 5692 5713 5779 5825 5997 6098 6523 6716 7735 8422 11092 12428 18822 21423 33090 42553 63708 69544 86951 109705 101990 122476 79757 92710 53253 62045 38254 44405 27134 25012 13326 3336 1187 215 53 16 6 1
8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8428 8429 8429 8429 8429 8429 8429 8429 8429 8429 8429 8430 8430 8430 8430 8430 8432 8432 8434 8434 8440 8445 8457 8459 8481 8504 8576 8626 8814 8923 9388 9598 10707 11457 14366 15824 22796 25625 38325 48592 71341 77540 95493 119687 109163 130263 83734 96714 55523 63999 39267 45034 27573 25025 13443 3335 1191 216 53 16 6 1
10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10020 10021 10021 10021 10021 10021 10021 10021 10021 10021 10021 10022 10022 10022 10022 10022 10024 10024 10028 10028 10034 10039 10051 10053 10077 10102 10180 10234 10438 10555 11055 11280 12479 13285 16432 18000 25545 28588 42318 53399 77743 84280 102667 128255 115093 136747 87048 99918 57348 65511 40650 46080 28161 25449 13595 3381 1195 216 53 16 6 1
20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20224 20225 20225 20225 20225 20225 20225 20225 20225 20225 20225 20226 20226 20226 20226 20226 20228 20228 20232 20232 20238 20244 20258 20260 20286 20313 20397 20455 20671 20795 21335 21576 22859 23724 27111 28796 36897 40152 54671 66580 92457 99310 117762 144583 128653 150630 96817 109208 63179 70158 43567 48145 29769 26091 13883 3424 1200 218 53 16 6 1
11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11736 11737 11737 11737 11737 11737 11737 11737 11737 11737 11737 11738 11738 11738 11738 11738 11740 11740 11744 11744 11752 11758 11772 11774 11802 11831 11921 11983 12215 12347 12922 13178 14563 15491 19111 20908 29544 32996 48735 61491 88809 95961 114991 143088 124716 147520 90990 103909 59339 67202 41625 46878 28712 25718 13698 3395 1199 217 53 16 6 1
11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11966 11967 11967 11967 11967 11967 11967 11967 11967 11967 11967 11968 11968 11968 11968 11968 11970 11970 11974 11974 11982 11989 12005 12007 12037 12068 12164 12230 12478 12618 13233 13505 14980 15966 19824 21736 30910 34565 51300 64864 93656 101110 120282 149540 128374 151684 91578 104647 59346 67190 41542 46844 28763 25612 13709 3412 1204 219 53 16 6 1
1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1720 1721 1721 1721 1721 1721 1721 1721 1721 1721 1721 1722 1722 1722 1724 1724 1726 1726 1730 1730 1738 1745 1761 1763 1796 1829 1928 1997 2261 2408 3063 3351 4916 5964 10068 12102 21871 25758 43489 57835 87978 95731 115131 145578 121834 145780 83649 97142 51863 60998 36655 43613 26430 24755 13221 3328 1190 215 53 16 6 1
7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7232 7233 7233 7233 7233 7233 7233 7233 7233 7233 7233 7234 7234 7234 7236 7236 7238 7238 7242 7242 7250 7257 7275 7277 7312 7347 7452 7525 7805 7960 8650 8953 10614 11720 16058 18204 28498 32583 51266 66400 97740 105720 125213 156685 130435 154733 89573 102946 56642 64969 39853 45774 28033 25271 13598 3380 1201 218 53 16 6 1
3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3034 3035 3035 3035 3035 3035 3035 3035 3035 3035 3035 3036 3036 3036 3038 3038 3040 3040 3044 3044 3054 3061 3079 3081 3118 3155 3266 3343 3635 3797 4527 4845 6596 7764 12349 14618 25519 29843 49504 65402 98082 106374 126348 159250 130709 155767 88171 101939 54248 63263 37970 44816 27030 25125 13345 3341 1193 216 54 16 6 1
18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18588 18589 18589 18589 18589 18589 18589 18589 18589 18589 18589 18590 18590 18590 18592 18592 18594 18594 18598 18598 18608 18616 18636 18638 18677 18716 18833 18914 19222 19392 20160 20495 22336 23564 28384 30768 42215 46752 67328 83965 117762 126291 146165 179948 148419 173546 102849 115757 65372 72451 43766 48706 29741 26176 13935 3428 1208 220 54 16 6 1
